test_type,device,block_size,stride_size,required_samples
0,0,1048576,0.0,44
0,0,104857600,0.0,54
0,0,131072,0.0,62
0,0,16384,0.0,12
0,0,262144,0.0,46
0,0,32768,0.0,81
0,0,4096,0.0,250
0,0,524288,0.0,5
0,0,65536,0.0,24
0,0,8192,0.0,6
0,1,1048576,0.0,59
0,1,104857600,0.0,84
0,1,131072,0.0,5
0,1,16384,0.0,48
0,1,262144,0.0,190
0,1,32768,0.0,6
0,1,4096,0.0,53
0,1,524288,0.0,5
0,1,65536,0.0,72
0,1,8192,0.0,27
1,0,1048576,0.0,6
1,0,104857600,0.0,9
1,0,131072,0.0,9
1,0,16384,0.0,5
1,0,262144,0.0,8
1,0,32768,0.0,11
1,0,4096,0.0,5
1,0,524288,0.0,5
1,0,65536,0.0,6
1,0,8192,0.0,5
1,1,1048576,0.0,62
1,1,104857600,0.0,23
1,1,131072,0.0,109
1,1,16384,0.0,15
1,1,262144,0.0,12
1,1,32768,0.0,11
1,1,4096,0.0,5
1,1,524288,0.0,32
1,1,65536,0.0,32
1,1,8192,0.0,12
2,0,"1048576001,65536""",221.447246,5
2,0,4096,4096.0,863
2,1,1048576,4096.0,5
2,1,1048576,8192.0,85
2,1,1048576,16384.0,84
2,1,1048576,32768.0,5
2,1,1048576,65536.0,107
2,1,1048576,131072.0,110
2,1,1048576,262144.0,5
2,1,1048576,524288.0,332
2,1,1048576,1048576.0,5
2,1,1048576,104857600.0,11
2,1,104857600,4096.0,110
2,1,104857600,8192.0,59
2,1,104857600,16384.0,5
2,1,104857600,32768.0,92
2,1,104857600,65536.0,132
2,1,104857600,131072.0,78
2,1,104857600,262144.0,93
2,1,104857600,524288.0,5
2,1,104857600,1048576.0,72
2,1,104857600,104857600.0,5
2,1,131072,4096.0,72
2,1,131072,8192.0,91
2,1,131072,16384.0,5
2,1,131072,32768.0,95
2,1,131072,65536.0,209
2,1,131072,131072.0,5
2,1,131072,262144.0,5
2,1,131072,524288.0,819187
2,1,131072,1048576.0,5
2,1,131072,104857600.0,25
2,1,16384,4096.0,74
2,1,16384,8192.0,36
2,1,16384,16384.0,8
2,1,16384,32768.0,226
2,1,16384,65536.0,5
2,1,16384,131072.0,8
2,1,16384,262144.0,5
2,1,16384,524288.0,5
2,1,16384,1048576.0,5
2,1,16384,104857600.0,126
2,1,262144,4096.0,13
2,1,262144,8192.0,71
2,1,262144,16384.0,80
2,1,262144,32768.0,94
2,1,262144,65536.0,5
2,1,262144,131072.0,290
2,1,262144,262144.0,5
2,1,262144,524288.0,5
2,1,262144,1048576.0,5
2,1,262144,104857600.0,29
2,1,32768,4096.0,15
2,1,32768,8192.0,35
2,1,32768,16384.0,93
2,1,32768,32768.0,5
2,1,32768,65536.0,960
2,1,32768,131072.0,5
2,1,32768,262144.0,5
2,1,32768,524288.0,5
2,1,32768,1048576.0,5
2,1,32768,104857600.0,187
2,1,4096,4096.0,49
2,1,4096,8192.0,64
2,1,4096,16384.0,64
2,1,4096,32768.0,155
2,1,4096,65536.0,23
2,1,4096,131072.0,24
2,1,4096,262144.0,23
2,1,4096,524288.0,30
2,1,4096,1048576.0,33
2,1,4096,104857600.0,352
2,1,524288,4096.0,76
2,1,524288,8192.0,102
2,1,524288,16384.0,91
2,1,524288,32768.0,5
2,1,524288,65536.0,108
2,1,524288,131072.0,219
2,1,524288,262144.0,5
2,1,524288,524288.0,5
2,1,524288,1048576.0,4755
2,1,524288,104857600.0,11
2,1,65536,4096.0,44
2,1,65536,8192.0,118
2,1,65536,16384.0,75
2,1,65536,32768.0,5
2,1,65536,65536.0,360
2,1,65536,131072.0,5
2,1,65536,262144.0,43
2,1,65536,524288.0,5
2,1,65536,1048576.0,5
2,1,65536,104857600.0,5
2,1,8192,4096.0,103
2,1,8192,8192.0,229
2,1,8192,16384.0,581
2,1,8192,32768.0,222
2,1,8192,65536.0,13
2,1,8192,131072.0,12
2,1,8192,262144.0,11
2,1,8192,524288.0,6
2,1,8192,1048576.0,19
2,1,8192,104857600.0,47
3,1,1048576,4096.0,165
3,1,1048576,8192.0,29
3,1,1048576,16384.0,74
3,1,1048576,32768.0,255
3,1,1048576,65536.0,76
3,1,1048576,131072.0,38
3,1,1048576,262144.0,85
3,1,1048576,524288.0,31
3,1,1048576,1048576.0,166
3,1,1048576,104857600.0,27
3,1,104857600,4096.0,306
3,1,104857600,8192.0,113
3,1,104857600,16384.0,692
3,1,104857600,32768.0,5
3,1,104857600,65536.0,17
3,1,104857600,131072.0,34
3,1,104857600,262144.0,25
3,1,104857600,524288.0,445
3,1,104857600,1048576.0,438
3,1,104857600,104857600.0,1003
3,1,"1048576001,104857600""",116.204528,5
3,1,131072,4096.0,470
3,1,131072,8192.0,365
3,1,131072,16384.0,75
3,1,131072,32768.0,46
3,1,131072,65536.0,808
3,1,131072,131072.0,5
3,1,131072,262144.0,5
3,1,131072,524288.0,5
3,1,131072,1048576.0,35
3,1,131072,104857600.0,6
3,1,16384,4096.0,58
3,1,16384,8192.0,323
3,1,16384,16384.0,183
3,1,16384,32768.0,62
3,1,16384,65536.0,46
3,1,16384,131072.0,108
3,1,16384,262144.0,40
3,1,16384,524288.0,13
3,1,16384,1048576.0,12
3,1,16384,104857600.0,199
3,1,262144,4096.0,85
3,1,262144,8192.0,78
3,1,262144,16384.0,67
3,1,262144,32768.0,112
3,1,262144,65536.0,177
3,1,262144,131072.0,171
3,1,262144,262144.0,114
3,1,262144,524288.0,58
3,1,262144,1048576.0,63
3,1,262144,104857600.0,6
3,1,32768,4096.0,540
3,1,32768,8192.0,45
3,1,32768,16384.0,36
3,1,32768,32768.0,77
3,1,32768,65536.0,251
3,1,32768,131072.0,26
3,1,32768,262144.0,134
3,1,32768,524288.0,39
3,1,32768,1048576.0,48
3,1,32768,104857600.0,786
3,1,4096,4096.0,9
3,1,4096,8192.0,5
3,1,4096,16384.0,5
3,1,4096,32768.0,5
3,1,4096,65536.0,5
3,1,4096,131072.0,5
3,1,4096,262144.0,5
3,1,4096,524288.0,5
3,1,4096,1048576.0,5
3,1,4096,104857600.0,14
3,1,524288,4096.0,687
3,1,524288,8192.0,21
3,1,524288,16384.0,10
3,1,524288,32768.0,31
3,1,524288,65536.0,26
3,1,524288,131072.0,72
