test_type,device,block_size,stride_size,required_samples
0,0,4096,0,90
0,0,8192,0,11
0,0,16384,0,19
0,0,32768,0,47
0,0,65536,0,29
0,0,131072,0,36
0,0,262144,0,73
0,0,524288,0,10
0,0,1048576,0,31
0,0,104857600,0,41
1,0,4096,0,10
1,0,8192,0,11
1,0,16384,0,74
1,0,32768,0,218
1,0,65536,0,184
1,0,131072,0,165
1,0,262144,0,346
1,0,524288,0,280
1,0,1048576,0,242
1,0,104857600,0,290
2,0,4096,4096,49
2,0,4096,8192,64
2,0,4096,16384,64
2,0,4096,32768,155
2,0,4096,65536,23
2,0,4096,131072,24
2,0,4096,262144,23
2,0,4096,524288,30
2,0,4096,1048576,33
2,0,4096,104857600,352
2,0,8192,4096,103
2,0,8192,8192,229
2,0,8192,16384,581
2,0,8192,32768,222
2,0,8192,65536,13
2,0,8192,131072,12
2,0,8192,262144,11
2,0,8192,524288,6
2,0,8192,1048576,19
2,0,8192,104857600,47
2,0,16384,4096,74
2,0,16384,8192,36
2,0,16384,16384,8
2,0,16384,32768,226
2,0,16384,65536,5
2,0,16384,131072,8
2,0,16384,262144,5
2,0,16384,524288,5
2,0,16384,1048576,5
2,0,16384,104857600,126
2,0,32768,4096,15
2,0,32768,8192,35
2,0,32768,16384,93
2,0,32768,32768,5
2,0,32768,65536,960
2,0,32768,131072,5
2,0,32768,262144,5
2,0,32768,524288,5
2,0,32768,1048576,5
2,0,32768,104857600,187
2,0,65536,4096,44
2,0,65536,8192,118
2,0,65536,16384,75
2,0,65536,32768,5
2,0,65536,65536,360
2,0,65536,131072,5
2,0,65536,262144,43
2,0,65536,524288,5
2,0,65536,1048576,5
2,0,65536,104857600,5
2,0,131072,4096,72
2,0,131072,8192,91
2,0,131072,16384,5
2,0,131072,32768,95
2,0,131072,65536,209
2,0,131072,131072,5
2,0,131072,262144,5
2,0,131072,524288,819187
2,0,131072,1048576,5
2,0,131072,104857600,25
2,0,262144,4096,13
2,0,262144,8192,71
2,0,262144,16384,80
2,0,262144,32768,94
2,0,262144,65536,5
2,0,262144,131072,290
2,0,262144,262144,5
2,0,262144,524288,5
2,0,262144,1048576,5
2,0,262144,104857600,29
2,0,524288,4096,76
2,0,524288,8192,102
2,0,524288,16384,5
4,0,4096,0,452
4,0,8192,0,337
4,0,16384,0,587
4,0,32768,0,401
4,0,65536,0,265
4,0,131072,0,295
4,0,262144,0,208
4,0,524288,0,157
4,0,1048576,0,126
4,0,104857600,0,87
5,0,4096,0,2032
5,0,8192,0,2005
5,0,16384,0,1997
5,0,32768,0,1838
5,0,65536,0,1671
5,0,131072,0,1482
5,0,262144,0,1229
5,0,524288,0,1734619
5,0,1048576,0,767
5,0,104857600,0,357
